eps,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
CS_10_2,2,2,2,2,2,2,2,3,3,7
CS_15_3,5,4,4,4,4,5,5,5,6,6
f2ft_15,3,6,5,6,6,7,7,6,7,5
f2ft_5,1,1,1,1,1,1,1,1,2,3
LC_14,7,5,6,5,5,4,4,5,4,8
LC_20,8,8,8,8,8,8,8,8,8,2
T_week,6,7,7,7,7,6,6,4,5,4
T_2days,4,3,3,3,3,3,3,2,1,1
